라인,상태,제품_이름,생산_량,불량_량,생산_시작_시간,생산_종료_시간
라인-1,점검 중,삼성 냉장고,461,82,2023-06-28 18:45:20,2023-06-29 00:58:20
라인-2,점검 중,삼성 갤럭시 버즈,586,16,2023-03-02 19:10:22,2023-03-03 04:43:22
라인-3,고장,삼성 웨어러블 디바이스,539,7,2023-03-05 08:57:47,2023-03-05 16:32:47
라인-4,가동 중,갤럭시 Z Fold 3,166,49,2023-10-28 23:31:30,2023-10-29 01:33:30
라인-5,점검 중,갤럭시 노트 20,538,84,2023-10-25 10:22:17,2023-10-25 15:46:17
라인-6,점검 중,삼성 냉장고,955,8,2023-07-24 02:05:09,2023-07-24 02:39:09
라인-7,가동 중,삼성 냉장고,475,97,2023-04-09 05:05:22,2023-04-09 09:50:22
라인-8,대기 중,삼성 세탁기,237,12,2023-10-22 19:15:48,2023-10-22 23:09:48
라인-9,점검 중,갤럭시 S21,63,50,2023-05-21 21:15:47,2023-05-22 00:11:47
라인-10,대기 중,갤럭시 S21,935,33,2023-08-02 19:58:17,2023-08-02 21:28:17
라인-11,대기 중,갤럭시 Z Fold 3,568,81,2023-05-14 16:55:04,2023-05-14 20:49:04
라인-12,대기 중,갤럭시 Z Fold 3,137,30,2023-05-14 08:31:35,2023-05-14 14:41:35
라인-13,대기 중,삼성 갤럭시 버즈,846,56,2023-07-31 09:16:52,2023-07-31 11:46:52
라인-14,가동 중,삼성 스마트폰 충전기,75,72,2023-03-07 22:28:09,2023-03-08 03:52:09
라인-15,고장,갤럭시 S21,636,32,2023-04-05 12:58:45,2023-04-05 18:01:45
라인-16,고장,갤럭시 Z Fold 3,913,37,2023-03-07 21:59:16,2023-03-07 23:00:16
라인-17,비가동 중,삼성 스마트폰 충전기,462,27,2023-07-05 02:37:14,2023-07-05 07:41:14
라인-18,가동 중,갤럭시 노트 20,313,89,2023-06-25 20:50:38,2023-06-26 06:32:38
라인-19,비가동 중,삼성 스마트폰 충전기,356,68,2023-07-04 16:41:36,2023-07-04 20:52:36
라인-20,가동 중,삼성 냉장고,745,75,2023-02-05 08:35:37,2023-02-05 14:48:37
라인-21,가동 중,삼성 SSD 드라이브,116,2,2023-10-11 00:56:11,2023-10-11 08:24:11
라인-22,고장,갤럭시 A72,917,11,2023-10-07 21:37:36,2023-10-08 06:09:36
라인-23,고장,삼성 갤럭시 워치,64,47,2023-09-26 10:54:40,2023-09-26 13:37:40
라인-24,비가동 중,삼성 노트북,897,36,2023-08-02 05:43:09,2023-08-02 15:16:09
라인-25,비가동 중,삼성 스마트 TV,628,80,2023-08-01 22:30:02,2023-08-02 05:56:02
라인-26,가동 중,삼성 오디오 스피커,32,18,2023-05-07 23:22:12,2023-05-08 03:51:12
라인-27,가동 중,삼성 에어컨,493,95,2023-05-09 15:39:24,2023-05-09 20:55:24
라인-28,대기 중,갤럭시 S21,107,41,2023-10-05 00:53:26,2023-10-05 04:31:26
라인-29,점검 중,삼성 스마트 TV,32,81,2023-11-02 19:10:12,2023-11-03 03:49:12
라인-30,가동 중,삼성 오디오 스피커,818,94,2023-10-19 18:32:51,2023-10-19 22:17:51
라인-31,비가동 중,삼성 헤드폰,342,9,2023-05-21 05:14:39,2023-05-21 06:19:39
라인-32,고장,갤럭시 탭 S7,467,96,2023-08-11 04:18:33,2023-08-11 13:16:33
라인-33,대기 중,삼성 헤드폰,29,96,2023-09-09 08:56:25,2023-09-09 18:54:25
라인-34,대기 중,삼성 스마트 TV,941,37,2023-01-17 21:17:15,2023-01-18 06:26:15
라인-35,점검 중,삼성 오디오 스피커,321,42,2023-01-10 08:39:02,2023-01-10 17:26:02
라인-36,고장,삼성 모니터,20,65,2023-01-07 22:30:31,2023-01-08 04:33:31
라인-37,대기 중,삼성 SSD 드라이브,832,72,2023-08-10 16:19:36,2023-08-10 19:35:36
라인-38,점검 중,삼성 프린터,421,30,2023-03-27 17:21:43,2023-03-27 19:13:43
라인-39,가동 중,삼성 스마트홈 기기,733,17,2023-09-20 21:32:17,2023-09-21 03:58:17
라인-40,대기 중,갤럭시 Z Fold 3,897,96,2023-04-10 14:28:15,2023-04-11 00:14:15
라인-41,가동 중,삼성 오디오 스피커,42,99,2023-03-13 21:36:30,2023-03-13 23:43:30
라인-42,고장,갤럭시 노트 20,513,58,2023-09-19 09:25:43,2023-09-19 13:24:43
라인-43,점검 중,갤럭시 A72,643,61,2023-03-05 15:03:13,2023-03-05 16:24:13
라인-44,가동 중,삼성 갤럭시 버즈,138,31,2023-05-01 08:59:31,2023-05-01 16:40:31
라인-45,비가동 중,삼성 모니터,261,38,2023-06-25 22:17:05,2023-06-26 03:03:05
라인-46,점검 중,갤럭시 탭 S7,300,84,2023-05-30 02:11:15,2023-05-30 10:08:15
라인-47,고장,삼성 세탁기,974,10,2023-08-26 09:15:25,2023-08-26 12:19:25
라인-48,고장,삼성 프린터,263,85,2023-02-26 03:58:28,2023-02-26 09:12:28
라인-49,점검 중,삼성 세탁기,507,51,2023-07-17 20:16:35,2023-07-17 21:52:35
라인-50,대기 중,갤럭시 탭 S7,105,7,2023-09-29 00:52:17,2023-09-29 03:07:17
라인-51,점검 중,삼성 갤럭시 버즈,451,98,2023-01-10 12:34:51,2023-01-10 19:24:51
라인-52,대기 중,삼성 웨어러블 디바이스,1000,1,2023-06-22 05:21:33,2023-06-22 09:23:33
라인-53,비가동 중,갤럭시 Z Fold 3,152,95,2023-09-14 13:37:59,2023-09-14 18:22:59
라인-54,고장,삼성 갤럭시 워치,747,69,2023-09-30 04:40:11,2023-09-30 06:09:11
라인-55,비가동 중,삼성 에어컨,792,30,2023-01-22 06:36:20,2023-01-22 08:23:20
라인-56,점검 중,삼성 웨어러블 디바이스,716,55,2023-11-02 08:52:42,2023-11-02 16:58:42
라인-57,비가동 중,갤럭시 S21,885,69,2023-09-30 07:42:29,2023-09-30 16:12:29
라인-58,고장,삼성 헤드폰,147,11,2023-08-28 08:04:08,2023-08-28 09:36:08
라인-59,대기 중,갤럭시 A72,974,3,2023-07-26 23:21:14,2023-07-27 00:16:14
라인-60,비가동 중,삼성 갤럭시 워치,806,0,2023-04-13 21:04:30,2023-04-14 00:30:30
라인-61,비가동 중,삼성 갤럭시 버즈,235,92,2023-09-10 15:57:08,2023-09-10 18:19:08
라인-62,점검 중,갤럭시 S21,698,47,2023-08-26 11:36:26,2023-08-26 15:32:26
라인-63,비가동 중,삼성 스마트홈 기기,704,2,2023-08-27 06:45:18,2023-08-27 12:21:18
라인-64,고장,갤럭시 S21,977,58,2023-07-06 15:23:36,2023-07-07 00:50:36
라인-65,대기 중,삼성 에어컨,415,24,2023-05-24 15:30:02,2023-05-24 22:12:02
라인-66,비가동 중,삼성 프린터,627,17,2023-10-30 14:10:27,2023-10-30 20:01:27
라인-67,가동 중,갤럭시 탭 S7,158,11,2023-08-12 16:40:29,2023-08-13 00:00:29
라인-68,고장,삼성 냉장고,725,60,2023-08-09 20:32:55,2023-08-10 02:51:55
라인-69,점검 중,삼성 스마트홈 기기,420,14,2023-10-30 23:19:21,2023-10-31 06:38:21
라인-70,비가동 중,삼성 스마트폰 충전기,499,81,2023-07-26 11:21:43,2023-07-26 16:05:43
라인-71,고장,삼성 헤드폰,348,28,2023-06-21 01:35:40,2023-06-21 06:42:40
라인-72,비가동 중,삼성 냉장고,177,49,2023-02-24 16:44:54,2023-02-25 01:29:54
라인-73,고장,삼성 오디오 스피커,961,99,2023-03-15 23:52:37,2023-03-16 07:51:37
라인-74,점검 중,삼성 냉장고,391,59,2023-04-24 20:21:51,2023-04-24 23:54:51
라인-75,비가동 중,삼성 스마트폰 충전기,848,29,2023-07-25 17:21:44,2023-07-25 20:35:44
라인-76,고장,삼성 SSD 드라이브,258,51,2023-03-07 23:05:06,2023-03-08 02:18:06
라인-77,가동 중,삼성 노트북,654,73,2023-07-22 23:20:43,2023-07-23 07:39:43
라인-78,가동 중,갤럭시 A72,455,0,2023-03-12 02:31:21,2023-03-12 08:08:21
라인-79,점검 중,삼성 오디오 스피커,53,92,2023-07-21 12:24:07,2023-07-21 15:07:07
라인-80,점검 중,삼성 세탁기,331,44,2023-10-15 09:15:50,2023-10-15 14:51:50
라인-81,비가동 중,삼성 오디오 스피커,498,7,2023-01-21 20:57:16,2023-01-22 02:07:16
라인-82,점검 중,삼성 냉장고,998,59,2023-01-15 00:51:09,2023-01-15 10:49:09
라인-83,가동 중,삼성 세탁기,740,8,2023-08-17 14:06:21,2023-08-17 16:37:21
라인-84,가동 중,삼성 냉장고,866,15,2023-02-02 23:52:50,2023-02-03 08:23:50
라인-85,비가동 중,갤럭시 S21,884,80,2023-02-22 01:22:46,2023-02-22 10:58:46
라인-86,점검 중,갤럭시 노트 20,242,15,2023-09-02 08:55:01,2023-09-02 18:14:01
라인-87,점검 중,갤럭시 노트 20,519,68,2023-06-05 04:06:12,2023-06-05 13:46:12
라인-88,가동 중,삼성 노트북,591,81,2023-10-07 15:33:04,2023-10-07 18:01:04
라인-89,대기 중,삼성 오디오 스피커,109,55,2023-07-12 09:44:45,2023-07-12 16:24:45
라인-90,비가동 중,삼성 냉장고,938,70,2023-04-04 16:44:00,2023-04-04 21:35:00
라인-91,비가동 중,삼성 스마트 TV,589,12,2023-04-27 00:43:43,2023-04-27 09:27:43
라인-92,비가동 중,삼성 세탁기,567,68,2023-07-17 06:48:53,2023-07-17 09:09:53
라인-93,고장,삼성 갤럭시 워치,273,2,2023-06-16 03:54:07,2023-06-16 12:25:07
라인-94,점검 중,삼성 모니터,880,93,2023-02-08 21:34:43,2023-02-09 01:49:43
라인-95,가동 중,삼성 갤럭시 버즈,454,14,2023-07-19 18:14:28,2023-07-19 19:34:28
라인-96,비가동 중,갤럭시 S21,30,63,2023-04-12 09:46:29,2023-04-12 14:06:29
라인-97,고장,삼성 세탁기,929,29,2023-03-28 16:36:53,2023-03-29 02:25:53
라인-98,대기 중,삼성 프린터,78,58,2023-03-08 18:12:09,2023-03-08 19:35:09
라인-99,점검 중,삼성 SSD 드라이브,320,15,2023-06-01 22:39:21,2023-06-02 08:31:21
라인-100,대기 중,삼성 갤럭시 워치,554,96,2023-06-07 09:19:20,2023-06-07 17:42:20
